GeonamesId,Country
4030656,French Polynesia
7909807,South Sudan
7609695,Sint Maarten
1966436,East Timor
2464461,Tunisia
4034749,Wallis and Futuna
69543,Yemen
953987,South Africa
1252634,Bhutan
3575830,Dominica
3381670,French Guiana
99237,Iraq
935317,Reunion
2103350,Solomon Islands
2403846,Sierra Leone
1546748,French Southern Territories
1218197,Turkmenistan
690791,Ukraine
1820814,Brunei
3895114,Chile
3508796,Dominican Republic
337996,Ethiopia
3425505,Greenland
2963597,Ireland
1269750,India
3042142,Jersey
3576468,Saint Lucia
5880801,American Samoa
2395170,Benin
3923057,Bolivia
933860,Botswana
3374766,Cape Verde
2589581,Algeria
2205218,Fiji
2300660,Ghana
3579143,Guadeloupe
1819730,Hong Kong
1282588,British Indian Ocean Territory
2629691,Iceland
1655842,Laos
272103,Lebanon
3042058,Liechtenstein
718075,Macedonia
1327865,Myanmar
2378080,Mauritania
3578097,Montserrat
3355338,Namibia
2139685,New Caledonia
1282988,Nepal
286963,Oman
3932488,Peru
798549,Romania
2017370,Russia
51537,Somalia
1512440,Uzbekistan
8505032,Netherlands Antilles
2361809,Burkina Faso
7626844,"Bonaire, Saint Eustatius and Saba "
2510769,Spain
2635167,United Kingdom
2411586,Gibraltar
3175395,Italy
1527747,Kyrgyzstan
921929,Comoros
3580718,Cayman Islands
1168579,Pakistan
6290252,Serbia
3370751,Saint Helena
607072,Svalbard and Jan Mayen
163843,Syria
3576916,Turks and Caicos Islands
895949,Zambia
8505033,Serbia and Montenegro
1210997,Bangladesh
1547314,Heard Island and McDonald Islands
130758,Iran
1831722,Cambodia
3575174,Saint Kitts and Nevis
458258,Latvia
3041565,Andorra
3865483,Argentina
3577279,Aruba
3572887,Bahamas
2260494,Republic of the Congo
3562981,Cuba
2078138,Christmas Island
146669,Cyprus
2623032,Denmark
453733,Estonia
2461445,Western Sahara
2081918,Micronesia
3378535,Guyana
192950,Kenya
4030945,Kiribati
2960313,Luxembourg
3570311,Martinique
2562770,Malta
927384,Malawi
3996063,Mexico
1733045,Malaysia
3703430,Panama
1694008,Philippines
6254930,Palestinian Territory
298795,Turkey
149590,Tanzania
226074,Uganda
6252001,United States
878675,Zimbabwe
3573345,Bermuda
630336,Belarus
1814991,China
2622320,Faroe Islands
3202326,Croatia
248816,Jordan
2542007,Morocco
2088628,Papua New Guinea
49518,Rwanda
366755,Sudan
3382998,Suriname
3585968,El Salvador
3625428,Venezuela
4796775,U.S. Virgin Islands
2134431,Vanuatu
732800,Bulgaria
3469034,Brazil
203312,Democratic Republic of the Congo
2658434,Switzerland
1861060,Japan
831053,Kosovo
2328926,Nigeria
3573511,Anguilla
2782113,Austria
290291,Bahrain
433561,Burundi
6251999,Canada
1547376,Cocos Islands
2287781,Ivory Coast
357994,Egypt
3608932,Honduras
1227603,Sri Lanka
2275384,Liberia
597427,Lithuania
617790,Moldova
3194884,Montenegro
2080185,Marshall Islands
4030699,Pitcairn
289688,Qatar
102358,Saudi Arabia
934841,Swaziland
2434508,Chad
1220409,Tajikistan
2110297,Tuvalu
3577718,British Virgin Islands
1562822,Vietnam
290557,United Arab Emirates
661882,Aland Islands
2155115,Norfolk Island
3424932,Saint Pierre and Miquelon
2264397,Portugal
3437598,Paraguay
2661886,Sweden
2245662,Senegal
4032283,Tonga
1668284,Taiwan
3439705,Uruguay
3582678,Belize
3686110,Colombia
3042362,Guernsey
3351879,Angola
6697173,Antarctica
2077456,Australia
3277605,Bosnia and Herzegovina
3578476,Saint Barthelemy
2233387,Cameroon
3624060,Costa Rica
7626836,Curacao
3658394,Ecuador
3474414,Falkland Islands
2413451,Gambia
2420477,Guinea
2309096,Equatorial Guinea
3595528,Guatemala
4043988,Guam
2372248,Guinea-Bissau
294640,Israel
3489940,Jamaica
932692,Lesotho
2453866,Mali
934292,Mauritius
1036973,Mozambique
2440476,Niger
2750405,Netherlands
4036232,Niue
2186224,New Zealand
798544,Poland
1559582,Palau
241170,Seychelles
1880251,Singapore
3190538,Slovenia
3057568,Slovakia
3168068,San Marino
2410758,Sao Tome and Principe
2363686,Togo
3577815,Saint Vincent and the Grenadines
3374084,Barbados
1899402,Cook Islands
2921044,Germany
1643084,Indonesia
3042225,Isle of Man
1835841,South Korea
4566966,Puerto Rico
1605651,Thailand
4031074,Tokelau
3573591,Trinidad and Tobago
5854968,United States Minor Outlying Islands
3164670,Vatican
4034894,Samoa
1024031,Mayotte
1149361,Afghanistan
587116,Azerbaijan
3371123,Bouvet Island
223816,Djibouti
3017382,France
3580239,Grenada
3723988,Haiti
1522867,Kazakhstan
2993457,Monaco
3576396,Antigua and Barbuda
783754,Albania
174982,Armenia
2802361,Belgium
239880,Central African Republic
3077311,Czechia
338010,Eritrea
660013,Finland
2400553,Gabon
614540,Georgia
390903,Greece
3474415,South Georgia and the South Sandwich Islands
719819,Hungary
1873107,North Korea
285570,Kuwait
2215636,Libya
3578421,Saint Martin
1062947,Madagascar
2029969,Mongolia
1821275,Macao
4041468,Northern Mariana Islands
1282028,Maldives
3617476,Nicaragua
3144096,Norway
2110425,Nauru
